"Reference","Qty","Value / Part","Footprint class","Status"
"J1","1","NS200 HARNESS HEADER 2x6 2.54mm","header2x6","LOCKED TO USER 2.54mm GRID"
"U1L","1","ESP32 DEVKITC LEFT 1x19","single","VERIFY PHYSICAL FOOTPRINT"
"U1R","1","ESP32 DEVKITC RIGHT 1x19","single","VERIFY PHYSICAL FOOTPRINT"
"FMAIN","1","5A","axial","VERIFY PHYSICAL FOOTPRINT"
"DREV","1","SB560","axial","VERIFY PHYSICAL FOOTPRINT"
"TVS_IN","1","SMBJ33A/P6KE33A","axial","VERIFY PHYSICAL FOOTPRINT"
"L_IN","1","47uH 5A","axial","VERIFY PHYSICAL FOOTPRINT"
"C_IN","1","470uF 35V","axial","VERIFY PHYSICAL FOOTPRINT"
"FLOGIC","1","1A","axial","VERIFY PHYSICAL FOOTPRINT"
"UBUCK","1","MP1584 MODULE","quad","VERIFY PHYSICAL FOOTPRINT"
"FHV","1","3A","axial","VERIFY PHYSICAL FOOTPRINT"
"SW1","1","SERVICE HV","axial","VERIFY PHYSICAL FOOTPRINT"
"NT1","1","GROUND STAR LINK","axial","VERIFY PHYSICAL FOOTPRINT"
"NT2","1","LOGIC STAR LINK","axial","VERIFY PHYSICAL FOOTPRINT"
"U2","1","LM339N","dip","VERIFY PHYSICAL FOOTPRINT"
"U3","1","PC817 CENTER","quad","VERIFY PHYSICAL FOOTPRINT"
"U4","1","PC817 SIDE","quad","VERIFY PHYSICAL FOOTPRINT"
"JTPS","1","TPS SELECT 2x3","dual","VERIFY PHYSICAL FOOTPRINT"
"QFAN","1","BC337-40","triple","VERIFY PHYSICAL FOOTPRINT"
"DFAN","1","1N4007","axial","VERIFY PHYSICAL FOOTPRINT"
"QSTROBE","1","FQP30N06L / IRLZ44N","triple","VERIFY PHYSICAL FOOTPRINT"
"JSTROBE","1","LED STROBE 5V 1x2","header1x2","VERIFY PHYSICAL FOOTPRINT"
"JAUDIO","1","AUDIO EXPANSION 1x2","header1x2","VERIFY PHYSICAL FOOTPRINT"
"JUART","1","UART SERVICE 1x4","header1x4","VERIFY PHYSICAL FOOTPRINT"
"JBENCH","1","BENCH LOOP ONLY 1x2","header1x2","VERIFY PHYSICAL FOOTPRINT"
"DBAT_BAT","1","BAT54S / DUAL SCHOTTKY","triple","VERIFY PHYSICAL FOOTPRINT"
