"Reference","Pin","Net"
"J1","1","NC"
"J1","2","TPS_A"
"J1","3","TEMP_SENSOR"
"J1","4","TPS_B"
"J1","5","IGN_12V"
"J1","6","COIL_SIDE"
"J1","7","FAN_RELAY"
"J1","8","OEM_SIDE_PROBE"
"J1","9","OEM_CENTER_PROBE"
"J1","10","PICKUP_RAW"
"J1","11","GND_STAR"
"J1","12","COIL_CENTER"
"U1L","1","3V3"
"U1L","2","EN"
"U1L","3","TPS_ADC"
"U1L","4","TEMP_ADC"
"U1L","5","TPS_REF_ADC"
"U1L","6","HV_C_ADC"
"U1L","7","HV_S_ADC"
"U1L","8","VBAT_ADC"
"U1L","9","GATE_C"
"U1L","10","GATE_S"
"U1L","11","STROBE"
"U1L","12","FAULT_N"
"U1L","13","NC"
"U1L","14","GND_LOGIC"
"U1L","15","FAN_CTL"
"U1L","16","NC"
"U1L","17","NC"
"U1L","18","NC"
"U1L","19","5V_LOGIC"
"U1R","1","GND_LOGIC"
"U1R","2","NC"
"U1R","3","NC"
"U1R","4","UART_TX"
"U1R","5","UART_RX"
"U1R","6","NC"
"U1R","7","GND_LOGIC"
"U1R","8","PWM_B"
"U1R","9","PWM_A"
"U1R","10","BENCH_LOOP"
"U1R","11","OEM_SIDE"
"U1R","12","OEM_CENTER"
"U1R","13","PICKUP_DIG"
"U1R","14","BOOT"
"U1R","15","NC"
"U1R","16","NC"
"U1R","17","NC"
"U1R","18","NC"
"U1R","19","NC"
"FMAIN","1","IGN_12V"
"FMAIN","2","VIN_FUSED"
"DREV","A","VIN_FUSED"
"DREV","K","VIN_PROT"
"TVS_IN","A","GND_STAR"
"TVS_IN","K","VIN_PROT"
"L_IN","1","VIN_PROT"
"L_IN","2","VIN_FILT"
"C_IN","-","GND_STAR"
"C_IN","+","VIN_FILT"
"FLOGIC","1","VIN_FILT"
"FLOGIC","2","VIN_LOGIC"
"UBUCK","1","VIN_LOGIC"
"UBUCK","2","GND_STAR"
"UBUCK","3","5V_LOGIC"
"UBUCK","4","GND_LOGIC"
"FHV","1","VIN_FILT"
"FHV","2","VIN_HV_FUSED"
"SW1","1","VIN_HV_FUSED"
"SW1","2","VIN_HV"
"NT1","1","GND_STAR"
"NT1","2","GND_POWER"
"U2","1","FAULT_N"
"U2","2","PICKUP_OC"
"U2","3","5V_LOGIC"
"U2","4","PICKUP_ZERO"
"U2","5","PICKUP_SENSE"
"U2","6","ISENSE"
"U2","7","IREF"
"U2","8","HV_C_FB"
"U2","9","VOV_REF"
"U2","10","HV_S_FB"
"U2","11","VOV_REF"
"U2","12","GND_LOGIC"
"U2","13","FAULT_N"
"U2","14","FAULT_N"
"U3","1","OEM_C_LED_A"
"U3","2","GND_POWER"
"U3","3","GND_LOGIC"
"U3","4","OEM_CENTER"
"U4","1","OEM_S_LED_A"
"U4","2","GND_POWER"
"U4","3","GND_LOGIC"
"U4","4","OEM_SIDE"
"JTPS","1","TPS_A"
"JTPS","2","TPS_REF_RAW"
"JTPS","3","TPS_B"
"JTPS","4","TPS_B"
"JTPS","5","TPS_SIG_RAW"
"JTPS","6","TPS_A"
"QFAN","C","FAN_RELAY"
"QFAN","B","FAN_BASE"
"QFAN","E","GND_LOGIC"
"DFAN","A","FAN_RELAY"
"DFAN","K","VIN_PROT"
"U5","1","NC"
"U5","2","PWM_A_IN"
"U5","3","GND_POWER"
"U5","4","PWM_B_IN"
"U5","5","DRV_B"
"U5","6","VIN_HV"
"U5","7","DRV_A"
"U5","8","NC"
"QHV1","G","GATE_Q1"
"QHV1","D","LV_A"
"QHV1","S","ISENSE"
"QHV2","G","GATE_Q2"
"QHV2","D","LV_B"
"QHV2","S","ISENSE"
"RSENSE","1","ISENSE"
"RSENSE","2","GND_POWER"
"T1","1","LV_A"
"T1","2","VIN_HV"
"T1","3","LV_B"
"T1","4","HV_AC1"
"T1","5","HV_AC2"
"DREC1","A","HV_AC1"
"DREC1","K","BRIDGE_PLUS"
"DREC2","A","HV_AC2"
"DREC2","K","BRIDGE_PLUS"
"DREC3","A","GND_POWER"
"DREC3","K","HV_AC1"
"DREC4","A","GND_POWER"
"DREC4","K","HV_AC2"
"DCH_C","A","BRIDGE_PLUS"
"DCH_C","K","HV_CENTER"
"DCH_S","A","BRIDGE_PLUS"
"DCH_S","K","HV_SIDE"
"C_CENTER","1","HV_CENTER"
"C_CENTER","2","COIL_CENTER"
"C_SIDE","1","HV_SIDE"
"C_SIDE","2","COIL_SIDE"
"SCR1","K","GND_POWER"
"SCR1","A","HV_CENTER"
"SCR1","G","SCR_GATE_C"
"SCR2","K","GND_POWER"
"SCR2","A","HV_SIDE"
"SCR2","G","SCR_GATE_S"
"QNC","C","QPC_BASE_R"
"QNC","B","GATE_C_BASE"
"QNC","E","GND_LOGIC"
"QPC","C","SCR_GATE_C_R"
"QPC","B","QPC_BASE"
"QPC","E","VIN_HV"
"QNS","C","QPS_BASE_R"
"QNS","B","GATE_S_BASE"
"QNS","E","GND_LOGIC"
"QPS","C","SCR_GATE_S_R"
"QPS","B","QPS_BASE"
"QPS","E","VIN_HV"
"RVB1","1","VIN_FILT"
"RVB1","2","VBAT_SENSE"
"RVB2","1","VBAT_SENSE"
"RVB2","2","GND_LOGIC"
"RVB3","1","VBAT_SENSE"
"RVB3","2","VBAT_ADC"
"RT1","1","5V_LOGIC"
"RT1","2","TEMP_SENSOR"
"RT2","1","TEMP_SENSOR"
"RT2","2","TEMP_SENSE"
"RT3","1","TEMP_SENSE"
"RT3","2","GND_LOGIC"
"RT4","1","TEMP_SENSE"
"RT4","2","TEMP_ADC"
"RTPS1","1","TPS_SIG_RAW"
"RTPS1","2","TPS_SIG_DIV"
"RTPS2","1","TPS_SIG_DIV"
"RTPS2","2","GND_LOGIC"
"RTPS3","1","TPS_SIG_DIV"
"RTPS3","2","TPS_ADC"
"RTPS4","1","TPS_REF_RAW"
"RTPS4","2","TPS_REF_DIV"
"RTPS5","1","TPS_REF_DIV"
"RTPS5","2","GND_LOGIC"
"RTPS6","1","TPS_REF_DIV"
"RTPS6","2","TPS_REF_ADC"
"RPICK1","1","PICKUP_RAW"
"RPICK1","2","PICKUP_SENSE"
"RPICK2","1","PICKUP_SENSE"
"RPICK2","2","VMID"
