"Reference","X_mm","Y_mm","Zone","Rotation"
"J1","120","148","POWER","0"
"U1L","12","8","LOGIC","0"
"U1R","37.4","8","LOGIC","0"
"FMAIN","25","155","LOGIC","0"
"DREV","39","155","LOGIC","0"
"TVS_IN","53","148","LOGIC","0"
"L_IN","53","155","LOGIC","0"
"C_IN","67","148","LOGIC","0"
"FLOGIC","67","155","LOGIC","0"
"UBUCK","82","152","LOGIC","0"
"FHV","103","138","POWER","0"
"SW1","118","138","POWER","0"
"NT1","91","155","LOGIC","0"
"NT2","91","148","LOGIC","0"
"U2","72","12","LOGIC","0"
"U3","70","45","LOGIC","0"
"U4","82","45","LOGIC","0"
"JTPS","55","45","LOGIC","0"
"QFAN","55","57","LOGIC","0"
"DFAN","66","57","LOGIC","0"
"QSTROBE","5","60","LOGIC","0"
"JSTROBE","5","70","LOGIC","0"
"JAUDIO","5","80","LOGIC","0"
"JUART","20","70","LOGIC","0"
"JBENCH","20","82","LOGIC","0"
"DBAT_BAT","5","95","LOGIC","0"
"DBAT_TEMP","5","102","LOGIC","0"
"DBAT_TPS","5","109","LOGIC","0"
"DBAT_TREF","5","116","LOGIC","0"
"DBAT_PICK","5","123","LOGIC","0"
"DBAT_HVC","5","130","LOGIC","0"
"DBAT_HVS","5","137","LOGIC","0"
"U5","115","65","POWER","0"
"QHV1","132","64","POWER","0"
"QHV2","132","81","POWER","0"
"RSENSE","120","94","POWER","0"
"DTVS1","130","115","POWER","0"
"DTVS2","130","122","POWER","0"
"T1","150","58","HV","0"
"DREC1","178","52","HV","0"
"DREC2","178","59","HV","0"
"DREC3","178","66","HV","0"
"DREC4","178","73","HV","0"
"DCH_C","192","52","HV","0"
"DCH_S","192","73","HV","0"
"C_CENTER","148","38","HV","0"
"C_SIDE","196","92","HV","0"
"SCR1","182","133","HV","0"
"SCR2","203","133","HV","0"
"QNC","145","133","HV","0"
"QPC","158","133","HV","0"
"QNS","145","142","HV","0"
"QPS","158","142","HV","0"
"RVB1","40","68","LOGIC","0"
"RVB2","51","68","LOGIC","0"
"RVB3","62","68","LOGIC","0"
"RT1","73","68","LOGIC","0"
"RT2","84","68","LOGIC","0"
"RT3","40","75","LOGIC","0"
"RT4","51","75","LOGIC","0"
"RTPS0","62","75","LOGIC","0"
"RTPS1","73","75","LOGIC","0"
"RTPS2","84","75","LOGIC","0"
"RTPS3","40","82","LOGIC","0"
"RTPS4","51","82","LOGIC","0"
"RTPS5","62","82","LOGIC","0"
"RTPS6","73","82","LOGIC","0"
"RPICK1","84","82","LOGIC","0"
"RPICK2","40","89","LOGIC","0"
"RPICK3","51","89","LOGIC","0"
"RPICK4","62","89","LOGIC","0"
"RPICK5","73","89","LOGIC","0"
"RVM1","84","89","LOGIC","0"
"RVM2","40","96","LOGIC","0"
"RVZ1","51","96","LOGIC","0"
"RVZ2","62","96","LOGIC","0"
"ROEMC1","73","96","LOGIC","0"
"ROEMC2","84","96","LOGIC","0"
"ROEMC3","40","103","LOGIC","0"
"ROEMC4","51","103","LOGIC","0"
"ROEMS1","62","103","LOGIC","0"
"ROEMS2","73","103","LOGIC","0"
"ROEMS3","84","103","LOGIC","0"
"ROEMS4","40","110","LOGIC","0"
"ROEMC5","51","110","LOGIC","0"
"ROEMS5","62","110","LOGIC","0"
"RFAN1","73","110","LOGIC","0"
"RFAN2","84","110","LOGIC","0"
"RSTR1","40","117","LOGIC","0"
"RSTR2","51","117","LOGIC","0"
"CBAT","62","117","LOGIC","0"
"CTEMP","73","117","LOGIC","0"
"CTPSS","84","117","LOGIC","0"
"CTPSR","40","124","LOGIC","0"
"CU2","51","124","LOGIC","0"
"RPWMA","103","8","POWER","0"
"RPWMB","113","8","POWER","0"
"RGA","123","8","POWER","0"
"RGB","133","8","POWER","0"
"RGPD1","103","15","POWER","0"
"RGPD2","113","15","POWER","0"
"RPWMPDA","123","15","POWER","0"
"RPWMPDB","133","15","POWER","0"
"CTC1","103","22","POWER","0"
"CTC2","113","22","POWER","0"
"RI1","123","22","POWER","0"
"RI2","133","22","POWER","0"
"RIS","103","29","POWER","0"
"RVOV1","113","29","POWER","0"
"RVOV2","123","29","POWER","0"
"CVOV","133","29","POWER","0"
"RFAULT","103","36","POWER","0"
"DCLA","113","36","POWER","0"
"DCLB","123","36","POWER","0"
"RHVP1","133","36","POWER","0"
"RHVP2","103","43","POWER","0"
"RGC1","145","112","HV","0"
"RGC2","158","112","HV","0"
"RGC3","171","112","HV","0"
"RGC4","184","112","HV","0"
"RGC5","197","112","HV","0"
"RGC6","145","119","HV","0"
"RGS1","158","119","HV","0"
"RGS2","171","119","HV","0"
"RGS3","184","119","HV","0"
"RGS4","197","119","HV","0"
"RGS5","145","126","HV","0"
"RGS6","158","126","HV","0"
"RHVC1","184","8","HV","0"
"RHVC2","194","8","HV","0"
"RHVC3","204","8","HV","0"
"RHVC4","214","8","HV","0"
"RHVC5","184","25","HV","0"
"RHVC6","198","25","HV","0"
"CFBC","160","25","HV","0"
"RHVS1","184","18","HV","0"
"RHVS2","194","18","HV","0"
"RHVS3","204","18","HV","0"
"RHVS4","214","18","HV","0"
"RHVS5","184","28","HV","0"
"RHVS6","198","28","HV","0"
"CFBS","160","32","HV","0"
"RBC1","181","35","HV","0"
"RBC2","192","35","HV","0"
"RBC3","203","35","HV","0"
"RBC4","214","35","HV","0"
"RBS1","181","79","HV","0"
"RBS2","192","79","HV","0"
"RBS3","203","79","HV","0"
"RBS4","214","79","HV","0"
